position,representation,probe_seed,class_index,tag_id,precision,recall,f1,support_blocks,unit
P2,FIRST_DIFFERENCE_280,45,1,2,0.16666666666666666,0.1111111111111111,0.13333333333333333,9,condition_block
P2,FIRST_DIFFERENCE_280,45,2,3,0.38461538461538464,0.5555555555555556,0.4545454545454546,9,condition_block
P2,FIRST_DIFFERENCE_280,45,3,4,0.1,0.1111111111111111,0.10526315789473685,9,condition_block
P2,FIRST_DIFFERENCE_280,45,4,5,0.2,0.1111111111111111,0.14285714285714285,9,condition_block
P2,FIRST_DIFFERENCE_280,45,5,6,0.3125,0.5555555555555556,0.39999999999999997,9,condition_block
P2,FIRST_DIFFERENCE_280,45,6,7,0.2,0.1111111111111111,0.14285714285714285,9,condition_block
P2,FIRST_DIFFERENCE_280,46,0,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,9,condition_block
P2,FIRST_DIFFERENCE_280,46,1,2,0.25,0.1111111111111111,0.15384615384615383,9,condition_block
P2,FIRST_DIFFERENCE_280,46,2,3,0.3157894736842105,0.6666666666666666,0.42857142857142855,9,condition_block
P2,FIRST_DIFFERENCE_280,46,3,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,condition_block
P2,FIRST_DIFFERENCE_280,46,4,5,0.4,0.2222222222222222,0.2857142857142857,9,condition_block
P2,FIRST_DIFFERENCE_280,46,5,6,0.25,0.3333333333333333,0.28571428571428575,9,condition_block
P2,FIRST_DIFFERENCE_280,46,6,7,0.4,0.2222222222222222,0.2857142857142857,9,condition_block
P2,C1_ENCODER_EMBEDDING,42,0,1,0.875,0.7777777777777778,0.823529411764706,9,condition_block
P2,C1_ENCODER_EMBEDDING,42,1,2,1.0,0.8888888888888888,0.9411764705882353,9,condition_block
P2,C1_ENCODER_EMBEDDING,42,2,3,0.9,1.0,0.9473684210526316,9,condition_block
P2,C1_ENCODER_EMBEDDING,42,3,4,0.6666666666666666,0.8888888888888888,0.761904761904762,9,condition_block
P2,C1_ENCODER_EMBEDDING,42,4,5,1.0,0.6666666666666666,0.8,9,condition_block
P2,C1_ENCODER_EMBEDDING,42,5,6,0.75,0.6666666666666666,0.7058823529411765,9,condition_block
P2,C1_ENCODER_EMBEDDING,42,6,7,0.7272727272727273,0.8888888888888888,0.7999999999999999,9,condition_block
P2,C1_ENCODER_EMBEDDING,43,0,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,condition_block
P2,C1_ENCODER_EMBEDDING,43,1,2,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,condition_block
P2,C1_ENCODER_EMBEDDING,43,2,3,1.0,1.0,1.0,9,condition_block
P2,C1_ENCODER_EMBEDDING,43,3,4,0.8181818181818182,1.0,0.9,9,condition_block
P2,C1_ENCODER_EMBEDDING,43,4,5,0.8333333333333334,0.5555555555555556,0.6666666666666667,9,condition_block
P2,C1_ENCODER_EMBEDDING,43,5,6,0.875,0.7777777777777778,0.823529411764706,9,condition_block
P2,C1_ENCODER_EMBEDDING,43,6,7,0.7272727272727273,0.8888888888888888,0.7999999999999999,9,condition_block
P2,C1_ENCODER_EMBEDDING,44,0,1,0.8333333333333334,0.5555555555555556,0.6666666666666667,9,condition_block
P2,C1_ENCODER_EMBEDDING,44,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,condition_block
P2,C1_ENCODER_EMBEDDING,44,2,3,0.6428571428571429,1.0,0.782608695652174,9,condition_block
P2,C1_ENCODER_EMBEDDING,44,3,4,0.6153846153846154,0.8888888888888888,0.7272727272727274,9,condition_block
P2,C1_ENCODER_EMBEDDING,44,4,5,1.0,0.5555555555555556,0.7142857142857143,9,condition_block
P2,C1_ENCODER_EMBEDDING,44,5,6,0.8571428571428571,0.6666666666666666,0.75,9,condition_block
P2,C1_ENCODER_EMBEDDING,44,6,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,condition_block
P2,C1_ENCODER_EMBEDDING,45,0,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,condition_block
P2,C1_ENCODER_EMBEDDING,45,1,2,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,condition_block
P2,C1_ENCODER_EMBEDDING,45,2,3,0.8,0.8888888888888888,0.8421052631578948,9,condition_block
P2,C1_ENCODER_EMBEDDING,45,3,4,0.6666666666666666,0.8888888888888888,0.761904761904762,9,condition_block
P2,C1_ENCODER_EMBEDDING,45,4,5,1.0,0.3333333333333333,0.5,9,condition_block
P2,C1_ENCODER_EMBEDDING,45,5,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,condition_block
P2,C1_ENCODER_EMBEDDING,45,6,7,0.8181818181818182,1.0,0.9,9,condition_block
P2,C1_ENCODER_EMBEDDING,46,0,1,0.6153846153846154,0.8888888888888888,0.7272727272727274,9,condition_block
P2,C1_ENCODER_EMBEDDING,46,1,2,0.8333333333333334,0.5555555555555556,0.6666666666666667,9,condition_block
