arm,budget,source_seed,support_seed,fold,prediction_sha256,prediction_frozen_before_open,label_access_phase,seal_state_after_open
PARTIAL_FT,500,42,530017,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,530017,0,a839fcabbbca3023faaa713d4121ffa7ad5664d8e340f8e9b2c3090ca74d7534,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,555029,0,b4ee7f6c8a16ea54f490c626f3bb66de3aa662eccf25ecc8bf4ee0595f0cdc7b,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,555029,0,91f27290be4322c7cedad4913de9157a8f6b92358018b2edf8d52bf9eefd8c4b,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,555029,0,5120d380b8b186a98c28cb7ed5453ccef920b175608974fb4cbf1fbd5acb6adb,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,555029,0,7076709a232eeae24fb7bae1a7e72486b665c120abd0741b897b7af5ab0ba70b,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,555029,0,79b55d549c26cfd0af88fe6bb9b223b247d87f2be5012710c972e5178d66a101,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,555029,0,c72001e1307f51b9e83a66c1edf9c51a41308cf49eb5f2fb596b0a1ccf00f1d6,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,555029,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,555029,0,a839fcabbbca3023faaa713d4121ffa7ad5664d8e340f8e9b2c3090ca74d7534,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,580031,0,07c4c1af03c9161a231de929fca3fad5f83cc0db45f085178ba3bc61d78359d0,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,580031,0,b4def01530504fb27969aac5b6774ef01053d35e93afbdf1f6fe40c4a7fd63fc,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,580031,0,a4a0f452993f43b2070993b92955f56cff72cc957070320b1cb24b72bf33f72d,True,FINAL_SCORING_ONLY,LABELS_OPENED
