method,budget,strategy,source_seed,support_seed,class_index,predicted_query_blocks,predicted_query_rows
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,130363,2,13,667
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,130363,3,9,448
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,130363,4,4,186
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,130363,5,5,250
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,130363,6,10,452
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,155921,0,12,587
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,155921,1,12,628
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,155921,2,7,358
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,155921,3,10,496
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,155921,4,5,265
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,155921,5,6,297
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,155921,6,11,519
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,181081,0,12,579
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,181081,1,9,478
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,181081,2,8,420
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,181081,3,5,253
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,181081,4,3,156
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,181081,5,10,495
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,181081,6,16,769
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,205439,0,9,432
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,205439,1,7,380
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,205439,2,15,761
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,205439,3,9,431
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,205439,4,4,206
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,205439,5,11,551
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,205439,6,8,389
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,44,104729,0,9,438
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,44,104729,1,10,525
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,44,104729,2,6,322
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,44,104729,3,8,399
