support_selection_id,fold,support_seed,strategy,budget,selected_factor_cells,query_factor_cells,unique_er_levels,unique_surfaces,unique_factor_cells,er_count_imbalance,surface_count_imbalance,pairwise_factor_grid_dispersion,mean_pairwise_factor_grid_distance,minimum_query_to_support_factor_distance,mean_query_to_support_factor_distance,every_query_er_represented,every_query_surface_represented,support_coverage_score
run_880998ae89993d4c3881,2,181081,RANDOM_BLOCK,3,E0xS0;E1xS2;E2xS0,E0xS2;E1xS0;E2xS1,3,2,3,0,2,8,2.6666666666666665,1,1.0,True,False,0.75
run_02a78e7abe6a8d287e30,2,181081,ER_BALANCED,3,E0xS1;E1xS1;E2xS0,E0xS2;E1xS0;E2xS1,3,2,3,0,2,6,2.0,1,1.0,True,False,0.6666666666666666
run_5883c88159109253f0a3,2,181081,SURFACE_BALANCED,3,E0xS1;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,2,3,3,2,0,8,2.6666666666666665,1,1.0,False,True,0.75
run_741d115dbdea4ea48d2f,2,181081,JOINT_FACTOR_COVERAGE,3,E0xS1;E1xS2;E2xS0,E0xS2;E1xS0;E2xS1,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_0bd9e335032dbfd4b8d3,2,181081,RANDOM_BLOCK,5,E0xS0;E0xS1;E1xS1;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_e71fd30641df9c7754c0,2,181081,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS1;E1xS2;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_8c0274dcfdf40aab5089,2,205439,RANDOM_BLOCK,1,E1xS2,E0xS2;E1xS0;E2xS1,1,1,1,1,1,0,0.0,1,1.6666666666666667,False,False,0.16666666666666666
run_e1181e4b489fe747c48d,2,205439,RANDOM_BLOCK,3,E1xS1;E1xS2;E2xS2,E0xS2;E1xS0;E2xS1,2,2,3,2,2,4,1.3333333333333333,1,1.0,False,False,0.5
run_e5918affa04b83b1b7d9,2,205439,ER_BALANCED,3,E0xS1;E1xS2;E2xS2,E0xS2;E1xS0;E2xS1,3,2,3,0,2,6,2.0,1,1.3333333333333333,True,False,0.6666666666666666
run_c7cf76f6385b09a22a4d,2,205439,SURFACE_BALANCED,3,E1xS1;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,2,3,3,2,0,6,2.0,1,1.3333333333333333,False,True,0.6666666666666666
run_b0f6fa21c2b04bec2300,2,205439,JOINT_FACTOR_COVERAGE,3,E0xS0;E1xS1;E2xS2,E0xS2;E1xS0;E2xS1,3,3,3,0,0,8,2.6666666666666665,1,1.3333333333333333,True,True,0.8333333333333333
run_c8beda61f274edcf4409,2,205439,RANDOM_BLOCK,5,E0xS0;E1xS1;E1xS2;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_5bd324d8d779954c48a1,2,205439,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS1;E1xS2;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
