budget,true_class,predicted_class,mean_count_per_unit,row_normalized,unit_count
50,4,1,35.47,0.07882222222222222,100
50,4,2,48.1,0.1068888888888889,100
50,4,3,111.14,0.24697777777777777,100
50,4,4,10.39,0.02308888888888889,100
50,4,5,128.58,0.28573333333333334,100
50,4,6,41.53,0.09228888888888889,100
50,5,0,65.53,0.14562222222222224,100
50,5,1,63.31,0.1406888888888889,100
50,5,2,26.63,0.059177777777777774,100
50,5,3,65.33,0.14517777777777777,100
50,5,4,32.96,0.07324444444444445,100
50,5,5,154.73,0.3438444444444444,100
50,5,6,41.51,0.09224444444444443,100
50,6,0,97.31,0.21624444444444446,100
50,6,1,30.07,0.06682222222222223,100
50,6,2,63.84,0.14186666666666667,100
50,6,3,69.71,0.1549111111111111,100
50,6,4,18.98,0.04217777777777778,100
50,6,5,97.31,0.21624444444444446,100
50,6,6,72.78,0.16173333333333334,100
100,0,0,10.14,0.022533333333333336,100
100,0,1,69.59,0.15464444444444445,100
100,0,2,110.58,0.24573333333333333,100
100,0,3,21.36,0.047466666666666664,100
100,0,4,93.96,0.20879999999999999,100
100,0,5,44.61,0.09913333333333334,100
100,0,6,99.76,0.2216888888888889,100
100,1,0,37.21,0.0826888888888889,100
100,1,1,41.7,0.09266666666666667,100
100,1,2,117.07,0.26015555555555553,100
100,1,3,29.75,0.0661111111111111,100
100,1,4,45.18,0.1004,100
100,1,5,149.21,0.3315777777777778,100
100,1,6,29.88,0.0664,100
100,2,0,70.74,0.1572,100
100,2,1,71.59,0.15908888888888892,100
100,2,2,44.24,0.09831111111111113,100
100,2,3,70.07,0.1557111111111111,100
100,2,4,45.33,0.10073333333333334,100
100,2,5,112.89,0.2508666666666667,100
100,2,6,35.14,0.0780888888888889,100
100,3,0,22.42,0.04982222222222222,100
100,3,1,29.48,0.0655111111111111,100
100,3,2,106.06,0.23568888888888886,100
100,3,3,49.81,0.11068888888888888,100
100,3,4,97.34,0.2163111111111111,100
100,3,5,96.1,0.21355555555555553,100
100,3,6,48.79,0.10842222222222221,100
100,4,0,68.37,0.15193333333333334,100
100,4,1,36.85,0.08188888888888889,100
100,4,2,42.5,0.09444444444444443,100
100,4,3,122.02,0.27115555555555554,100
100,4,4,5.61,0.012466666666666666,100
100,4,5,130.8,0.29066666666666663,100
100,4,6,43.85,0.09744444444444443,100
