run_id,arm,lambda_max,fold,seed,accuracy,macro_f1,scope
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,46,0.3080952380952381,0.28425419320427225,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,42,0.30238095238095236,0.28886947194381835,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,43,0.25952380952380955,0.2780807300428269,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,44,0.2876190476190476,0.2741435148836949,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,45,0.2671428571428571,0.2690711942758641,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,46,0.30714285714285716,0.28450960219502036,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,42,0.2857142857142857,0.2768665935628727,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,43,0.31666666666666665,0.29186751385240645,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,44,0.31238095238095237,0.2609726777816466,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,45,0.31142857142857144,0.2781315458741441,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,46,0.3333333333333333,0.279693481821749,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,42,0.30238095238095236,0.28028146153730177,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,43,0.2338095238095238,0.22617627644862665,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,44,0.3047619047619048,0.2736343743896747,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,45,0.19904761904761906,0.21688184706101302,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,46,0.28285714285714286,0.2758391639129944,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,42,0.3028571428571429,0.2782847952656634,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,43,0.25666666666666665,0.2597109561724404,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,44,0.28809523809523807,0.2856799252093724,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,45,0.3019047619047619,0.2804919131733869,FAMILIAR_SOURCE_INNER_VALIDATION
